70cba98b-674a-48f3-96ea-5a568af9fe64	70cba98b-674a-48f3-96ea-5a568af9fe64	d5e7eff8-ae33-4cb9-8f1b-84a6c10a0dc4	21	303326	54252819005	54652419141	5743	5743	1		2017-06-06
678b1867-4235-400a-8f38-656e03382723	678b1867-4235-400a-8f38-656e03382723	f78f088b-f921-462c-98ed-e52d2d78028b	16	445148	36240818001	36640418101	6382	6382	1	63:32:1203018:5093	2017-06-06
a50ed3b8-e11c-4a37-868b-52d44f15f49b	a50ed3b8-e11c-4a37-868b-52d44f15f49b	0c346547-0fde-4c1b-8ce6-742ee3849f29	9	169511	87422000009	87626122146	1102	1102	1		2017-06-06
774bd464-4ef3-4a07-81dc-b55a0d5c840f	774bd464-4ef3-4a07-81dc-b55a0d5c840f	5afa5a40-2ecd-4b09-85b2-eb3db7356b1f	102в	168110	87232860001	87632460101	1109	1109	1	11:03:1001004:115	2017-06-06
bf4ef47e-5810-4847-bc57-a7e4d2b96036	bf4ef47e-5810-4847-bc57-a7e4d2b96036	f2c9db3e-f340-469b-af40-76b65e6cf45a	53	431030	89254551000	89654151051	1308	1308	1	13:21:0101025:60	2017-06-06
c3248eb9-b11d-4dc5-9400-2ebd693250d4	c3248eb9-b11d-4dc5-9400-2ebd693250d4	f7a1582a-e0db-45ce-abd4-5c7b5a4bc666	9	308516	14210801003	14610492111	3130	3130	1	31:15:0809004:699	2017-06-06
dd7acb31-b775-43f8-9567-20af2b6d280b	dd7acb31-b775-43f8-9567-20af2b6d280b	f78f088b-f921-462c-98ed-e52d2d78028b	11	445148	36240818001	36640418101	6382	6382	1	63:32:1203018:5065	2017-06-06
e113ef8f-0145-4a04-8a40-5f75ce1cd264	e113ef8f-0145-4a04-8a40-5f75ce1cd264	5b601894-e759-4dfe-a164-6bcd4432dce3	133	356245	07258501000	07658101	2645	2645	1		2017-06-06
f8f5e4b1-3d88-4761-99d2-1c3be6a825df	f8f5e4b1-3d88-4761-99d2-1c3be6a825df	628f2057-ff11-4b02-baeb-ffce70f1b7f2	183	368080	82236820001	82636420101	0546	0546	1	05:50:000001:1085	2017-06-06
c02a560d-b585-42f9-9ebd-007c834f37c0	c02a560d-b585-42f9-9ebd-007c834f37c0	9d43409e-a4a6-459c-9b65-442f82569bfd	34	182314	58250876001	58650476101	6009	6009	1		2017-06-06
de3e6c65-622b-475d-8182-94424268bced	de3e6c65-622b-475d-8182-94424268bced	020052ca-a9a8-450d-89cd-e8c0ba0296b4	9	142820	46253838004	46653101306	5045	5045	1	50:33:0030146:375	2017-06-06
